wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1409.9929,0,0.017369,8.1685e-09,9.4642,9.4816
1410.0052,0,0.12158,8.2762e-09,9.6005,9.7221
1410.0175,0,0.13895,8.3839e-09,9.6012,9.7401
1410.0298,0,0.13895,8.4917e-09,9.6011,9.74
1410.0421,0,0.13895,8.5994e-09,9.601,9.7399
1410.0543,0,0.13895,8.7072e-09,9.6009,9.7398
1410.0666,0,0.13895,8.8149e-09,9.6008,9.7397
1410.0789,0,0.13895,8.9227e-09,9.6007,9.7396
1410.0912,0,0.13895,9.0305e-09,9.6006,9.7396
1410.1035,0,0.13895,9.1383e-09,9.6005,9.7395
1410.1158,0,0.13895,9.2461e-09,9.6004,9.7394
1410.1281,0,0.13895,9.354e-09,9.6003,9.7393
1410.1404,0,0.13895,9.4618e-09,9.6002,9.7392
1410.1527,0,0.13895,9.5697e-09,9.6001,9.7391
1410.1650,0,0.13895,9.6775e-09,9.6,9.739
1410.1773,0,0.13895,9.7854e-09,9.5999,9.7389
1410.1896,0,0.13895,9.8933e-09,9.5998,9.7388
1410.2019,0,0.13895,1.0001e-08,9.5997,9.7387
1410.2142,0,0.13895,1.0108e-08,9.5996,9.7386
1410.2265,0,0.13895,1.0214e-08,9.5995,9.7385
1410.2388,0,0.13895,1.0316e-08,9.5994,9.7384
1410.2511,0,0.13895,1.0416e-08,9.5993,9.7383
1410.2634,0,0.13895,1.0513e-08,9.5992,9.7382
1410.2757,0,0.13895,1.0608e-08,9.5991,9.7381
1410.2880,0,0.13895,1.07e-08,9.599,9.738
1410.3003,0,0.13895,1.079e-08,9.5989,9.7379
1410.3126,0,0.13895,1.0877e-08,9.5988,9.7378
1410.3249,0,0.13895,1.0961e-08,9.5987,9.7377
1410.3372,0,0.13895,1.1043e-08,9.5986,9.7376
1410.3495,0,0.13895,1.1122e-08,9.5985,9.7375
1410.3618,0,0.13895,1.1198e-08,9.5985,9.7374
1410.3741,0,0.13895,1.1272e-08,9.5984,9.7373
1410.3864,0,0.13895,1.1343e-08,9.5983,9.7372
1410.3987,0,0.13895,1.1412e-08,9.5982,9.7371
1410.4110,0,0.13895,1.1478e-08,9.5981,9.737
1410.4233,0,0.13895,1.1541e-08,9.598,9.7369
1410.4356,0,0.13895,1.1602e-08,9.5979,9.7368
1410.4479,0,0.13895,1.166e-08,9.5978,9.7367
1410.4602,0,0.13895,1.1716e-08,9.5977,9.7366
1410.4725,0,0.13895,1.1769e-08,9.5976,9.7365
1410.4848,0,0.13895,1.1819e-08,9.5975,9.7364
1410.4971,0,0.13895,1.1867e-08,9.5974,9.7363
1410.5094,0,0.13895,1.1912e-08,9.5973,9.7362
1410.5217,0,0.13895,1.1955e-08,9.5972,9.7361
1410.5340,0,0.13895,1.1995e-08,9.5971,9.736
1410.5463,0,0.13895,1.2032e-08,9.597,9.7359
1410.5586,0,0.13895,1.2067e-08,9.5969,9.7358
1410.5709,0,0.13895,1.2099e-08,9.5968,9.7357
1410.5831,0,0.13895,1.2128e-08,9.5967,9.7356
1410.5954,0,0.13895,1.2155e-08,9.5966,9.7355
1410.6077,0,0.13895,1.2179e-08,9.5965,9.7354
1410.6200,0,0.13895,1.22e-08,9.5964,9.7353
1410.6323,0,0.13895,1.2219e-08,9.5963,9.7352
1410.6446,0,0.13895,1.2236e-08,9.5962,9.7351
1410.6569,0,0.13895,1.2249e-08,9.5961,9.735
1410.6692,0,0.13895,1.226e-08,9.596,9.7349
1410.6815,0,0.13895,1.2269e-08,9.5959,9.7348
1410.6938,0,0.13895,1.2274e-08,9.5958,9.7348
1410.7061,0,0.13895,1.2278e-08,9.5957,9.7347
1410.7184,0,0.13895,1.228e-08,9.5956,9.7346
1410.7307,0,0.13895,1.2281e-08,9.5955,9.7345
1410.7430,0,0.13895,1.2283e-08,9.5954,9.7344
1410.7553,0,0.13895,1.2284e-08,9.5953,9.7343
1410.7676,0,0.13895,1.2286e-08,9.5952,9.7342
1410.7799,0,0.13895,1.2288e-08,9.5951,9.7341
1410.7922,0,0.13895,1.2289e-08,9.595,9.734
1410.8045,0,0.13895,1.2291e-08,9.5949,9.7339
1410.8168,0,0.13895,1.2292e-08,9.5948,9.7338
1410.8291,0,0.13895,1.2294e-08,9.5947,9.7337
1410.8414,0,0.13895,1.2296e-08,9.5946,9.7336
1410.8537,0,0.13895,1.2297e-08,9.5945,9.7335
1410.8660,0,0.13895,1.2299e-08,9.5944,9.7334
1410.8783,0,0.13895,1.23e-08,9.5943,9.7333
1410.8906,0,0.13895,1.2302e-08,9.5942,9.7332
1410.9029,0,0.13895,1.2304e-08,9.5941,9.7331
1410.9152,0,0.13895,1.2305e-08,9.594,9.733
1410.9275,0,0.13895,1.2307e-08,9.5939,9.7329
1410.9398,0,0.13895,1.2308e-08,9.5938,9.7328
1410.9521,0,0.13895,1.231e-08,9.5937,9.7327
1410.9644,0,0.13895,1.2312e-08,9.5936,9.7326
1410.9767,0,0.13895,1.2313e-08,9.5935,9.7325
1410.9890,0,0.13895,1.2315e-08,9.5934,9.7324
1411.0013,0,0.13895,1.2316e-08,9.5934,9.7323
1411.0136,0,0.13895,1.2318e-08,9.5933,9.7322
1411.0259,0,0.13895,1.232e-08,9.5931,9.7321
1411.0382,0,0.13895,1.2321e-08,9.5931,9.732
1411.0505,0,0.13895,1.2323e-08,9.593,9.7319
1411.0628,0,0.13895,1.2325e-08,9.5929,9.7318
1411.0751,0,0.13895,1.2326e-08,9.5928,9.7317
1411.0874,0,0.13895,1.2328e-08,9.5927,9.7316
1411.0997,0,0.13895,1.2329e-08,9.5926,9.7315
1411.1119,0,0.13895,1.2331e-08,9.5925,9.7314
1411.1242,0,0.13895,1.2333e-08,9.5924,9.7313
1411.1365,0,0.13895,1.2334e-08,9.5923,9.7312
1411.1488,0,0.13895,1.2336e-08,9.5922,9.7311
1411.1611,0,0.13895,1.2337e-08,9.5921,9.731
1411.1734,0,0.13895,1.2339e-08,9.592,9.7309
1411.1857,0,0.13895,1.2341e-08,9.5919,9.7308
1411.1980,0,0.13895,1.2342e-08,9.5918,9.7307
1411.2103,0,0.13895,1.2344e-08,9.5917,9.7306
1411.2226,0,0.13895,1.2345e-08,9.5916,9.7305
1411.2349,0,0.13895,1.2347e-08,9.5915,9.7304
