wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1154.0245,0,0.13895,4.7863e-07,6.6536,6.7925
1154.0345,0,0.13895,4.786e-07,6.6544,6.7933
1154.0445,0,0.13895,4.7856e-07,6.6551,6.7941
1154.0546,0,0.13895,4.7853e-07,6.6559,6.7949
1154.0646,0,0.13895,4.785e-07,6.6567,6.7956
1154.0746,0,0.13895,4.7846e-07,6.6574,6.7964
1154.0847,0,0.13895,4.7843e-07,6.6582,6.7972
1154.0947,0,0.13895,4.784e-07,6.659,6.7979
1154.1047,0,0.13895,4.7837e-07,6.6598,6.7987
1154.1148,0,0.13895,4.7833e-07,6.6605,6.7995
1154.1248,0,0.13895,4.783e-07,6.6613,6.8002
1154.1349,0,0.13895,4.7827e-07,6.6621,6.801
1154.1449,0,0.13895,4.7823e-07,6.6628,6.8018
1154.1549,0,0.13895,4.782e-07,6.6636,6.8026
1154.1650,0,0.13895,4.7817e-07,6.6644,6.8033
1154.1750,0,0.13895,4.7814e-07,6.6651,6.8041
1154.1850,0,0.13895,4.781e-07,6.6659,6.8049
1154.1951,0,0.13895,4.7807e-07,6.6667,6.8056
1154.2051,0,0.13895,4.7804e-07,6.6675,6.8064
1154.2151,0,0.13895,4.78e-07,6.6682,6.8072
1154.2252,0,0.13895,4.7797e-07,6.669,6.8079
1154.2352,0,0.13895,4.7794e-07,6.6698,6.8087
1154.2452,0,0.13895,4.779e-07,6.6705,6.8095
1154.2553,0,0.13895,4.7787e-07,6.6713,6.8102
1154.2653,0,0.13895,4.7784e-07,6.6721,6.811
1154.2754,0,0.13895,4.778e-07,6.6728,6.8118
1154.2854,0,0.13895,4.7777e-07,6.6736,6.8126
1154.2954,0,0.13895,4.7774e-07,6.6744,6.8133
1154.3055,0,0.13895,4.777e-07,6.6751,6.8141
1154.3155,0,0.13895,4.7767e-07,6.6759,6.8149
1154.3255,0,0.13895,4.7764e-07,6.6767,6.8156
1154.3356,0,0.13895,4.776e-07,6.6774,6.8164
1154.3456,0,0.13895,4.7757e-07,6.6782,6.8172
1154.3556,0,0.13895,4.7754e-07,6.679,6.8179
1154.3657,0,0.13895,4.775e-07,6.6797,6.8187
1154.3757,0,0.13895,4.7747e-07,6.6805,6.8195
1154.3858,0,0.13895,4.7744e-07,6.6813,6.8202
1154.3958,0,0.13895,4.774e-07,6.682,6.821
1154.4058,0,0.13895,4.7737e-07,6.6828,6.8218
1154.4159,0,0.13895,4.7734e-07,6.6836,6.8225
1154.4259,0,0.13895,4.773e-07,6.6843,6.8233
1154.4359,0,0.13895,4.7727e-07,6.6851,6.8241
1154.4460,0,0.13895,4.7723e-07,6.6859,6.8248
1154.4560,0,0.13895,4.772e-07,6.6866,6.8256
1154.4660,0,0.13895,4.7717e-07,6.6874,6.8264
1154.4761,0,0.13895,4.7713e-07,6.6882,6.8271
1154.4861,0,0.13895,4.771e-07,6.6889,6.8279
1154.4962,0,0.13895,4.7707e-07,6.6897,6.8287
1154.5062,0,0.13895,4.7703e-07,6.6905,6.8294
1154.5162,0,0.13895,4.77e-07,6.6912,6.8302
1154.5263,0,0.13895,4.7696e-07,6.692,6.831
1154.5363,0,0.13895,4.7693e-07,6.6928,6.8317
1154.5463,0,0.13895,4.769e-07,6.6936,6.8325
1154.5564,0,0.13895,4.7686e-07,6.6943,6.8333
1154.5664,0,0.13895,4.7683e-07,6.6951,6.834
1154.5764,0,0.13895,4.7679e-07,6.6959,6.8348
1154.5865,0,0.13895,4.7676e-07,6.6966,6.8356
1154.5965,0,0.13895,4.7673e-07,6.6974,6.8364
1154.6065,0,0.13895,4.7669e-07,6.6982,6.8371
1154.6166,0,0.13895,4.7666e-07,6.6989,6.8379
1154.6266,0,0.13895,4.7662e-07,6.6997,6.8387
1154.6367,0,0.13895,4.7659e-07,6.7005,6.8394
1154.6467,0,0.13895,4.7655e-07,6.7013,6.8402
1154.6567,0,0.13895,4.7652e-07,6.702,6.841
1154.6668,0,0.13895,4.7649e-07,6.7028,6.8417
1154.6768,0,0.13895,4.7645e-07,6.7036,6.8425
1154.6868,0,0.13895,4.7642e-07,6.7043,6.8433
1154.6969,0,0.13895,4.7638e-07,6.7051,6.844
1154.7069,0,0.13895,4.7635e-07,6.7059,6.8448
1154.7169,0,0.13895,4.7631e-07,6.7066,6.8456
1154.7270,0,0.13895,4.7628e-07,6.7074,6.8464
1154.7370,0,0.13895,4.7624e-07,6.7082,6.8471
1154.7471,0,0.13895,4.7621e-07,6.7089,6.8479
1154.7571,0,0.13895,4.7618e-07,6.7097,6.8487
