wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1409.9929,0,0.00735,7.8967e-09,9.1514,9.1588
1410.0052,0,0.05145,8.0008e-09,9.2832,9.3347
1410.0175,0,0.0588,8.1049e-09,9.2837,9.3425
1410.0298,0,0.0588,8.209e-09,9.2835,9.3423
1410.0421,0,0.0588,8.3131e-09,9.2833,9.3421
1410.0543,0,0.0588,8.4172e-09,9.2831,9.3419
1410.0666,0,0.0588,8.5213e-09,9.2829,9.3417
1410.0789,0,0.0588,8.6254e-09,9.2827,9.3415
1410.0912,0,0.0588,8.7296e-09,9.2825,9.3413
1410.1035,0,0.0588,8.8338e-09,9.2823,9.3411
1410.1158,0,0.0588,8.9379e-09,9.2821,9.3409
1410.1281,0,0.0588,9.0421e-09,9.2819,9.3407
1410.1404,0,0.0588,9.1463e-09,9.2817,9.3405
1410.1527,0,0.0588,9.2506e-09,9.2815,9.3403
1410.1650,0,0.0588,9.3548e-09,9.2813,9.3401
1410.1773,0,0.0588,9.459e-09,9.2811,9.3399
1410.1896,0,0.0588,9.5633e-09,9.2809,9.3397
1410.2019,0,0.0588,9.6675e-09,9.2807,9.3395
1410.2142,0,0.0588,9.7711e-09,9.2805,9.3393
1410.2265,0,0.0588,9.8727e-09,9.2803,9.3391
1410.2388,0,0.0588,9.9717e-09,9.2801,9.3389
1410.2511,0,0.0588,1.0068e-08,9.2799,9.3387
1410.2634,0,0.0588,1.0162e-08,9.2797,9.3385
1410.2757,0,0.0588,1.0254e-08,9.2795,9.3383
1410.2880,0,0.0588,1.0343e-08,9.2793,9.3381
1410.3003,0,0.0588,1.0429e-08,9.2791,9.3379
1410.3126,0,0.0588,1.0513e-08,9.2789,9.3377
1410.3249,0,0.0588,1.0595e-08,9.2787,9.3375
1410.3372,0,0.0588,1.0673e-08,9.2785,9.3373
1410.3495,0,0.0588,1.075e-08,9.2783,9.3371
1410.3618,0,0.0588,1.0824e-08,9.2781,9.3369
1410.3741,0,0.0588,1.0895e-08,9.2779,9.3367
1410.3864,0,0.0588,1.0964e-08,9.2777,9.3365
1410.3987,0,0.0588,1.103e-08,9.2775,9.3363
1410.4110,0,0.0588,1.1094e-08,9.2773,9.3361
1410.4233,0,0.0588,1.1155e-08,9.2771,9.3359
1410.4356,0,0.0588,1.1214e-08,9.2769,9.3357
1410.4479,0,0.0588,1.127e-08,9.2767,9.3355
1410.4602,0,0.0588,1.1324e-08,9.2765,9.3353
1410.4725,0,0.0588,1.1375e-08,9.2763,9.3351
1410.4848,0,0.0588,1.1423e-08,9.2761,9.3349
1410.4971,0,0.0588,1.1469e-08,9.2759,9.3347
1410.5094,0,0.0588,1.1513e-08,9.2757,9.3345
1410.5217,0,0.0588,1.1554e-08,9.2755,9.3343
1410.5340,0,0.0588,1.1592e-08,9.2753,9.3341
1410.5463,0,0.0588,1.1628e-08,9.2751,9.3339
1410.5586,0,0.0588,1.1661e-08,9.2748,9.3336
1410.5709,0,0.0588,1.1692e-08,9.2746,9.3334
1410.5831,0,0.0588,1.1721e-08,9.2744,9.3332
1410.5954,0,0.0588,1.1746e-08,9.2742,9.333
1410.6077,0,0.0588,1.177e-08,9.274,9.3328
1410.6200,0,0.0588,1.179e-08,9.2738,9.3326
1410.6323,0,0.0588,1.1808e-08,9.2736,9.3324
1410.6446,0,0.0588,1.1824e-08,9.2734,9.3322
1410.6569,0,0.0588,1.1837e-08,9.2732,9.332
1410.6692,0,0.0588,1.1848e-08,9.273,9.3318
1410.6815,0,0.0588,1.1856e-08,9.2728,9.3316
1410.6938,0,0.0588,1.1861e-08,9.2726,9.3314
1410.7061,0,0.0588,1.1864e-08,9.2724,9.3312
1410.7184,0,0.0588,1.1866e-08,9.2722,9.331
1410.7307,0,0.0588,1.1867e-08,9.272,9.3308
1410.7430,0,0.0588,1.1868e-08,9.2718,9.3306
1410.7553,0,0.0588,1.187e-08,9.2716,9.3304
1410.7676,0,0.0588,1.1871e-08,9.2714,9.3302
1410.7799,0,0.0588,1.1873e-08,9.2712,9.33
1410.7922,0,0.0588,1.1874e-08,9.271,9.3298
1410.8045,0,0.0588,1.1875e-08,9.2708,9.3296
1410.8168,0,0.0588,1.1877e-08,9.2706,9.3294
1410.8291,0,0.0588,1.1878e-08,9.2704,9.3292
1410.8414,0,0.0588,1.188e-08,9.2702,9.329
1410.8537,0,0.0588,1.1881e-08,9.27,9.3288
1410.8660,0,0.0588,1.1883e-08,9.2698,9.3286
1410.8783,0,0.0588,1.1884e-08,9.2696,9.3284
1410.8906,0,0.0588,1.1885e-08,9.2694,9.3282
1410.9029,0,0.0588,1.1887e-08,9.2692,9.328
1410.9152,0,0.0588,1.1888e-08,9.269,9.3278
1410.9275,0,0.0588,1.189e-08,9.2688,9.3276
1410.9398,0,0.0588,1.1891e-08,9.2686,9.3274
1410.9521,0,0.0588,1.1892e-08,9.2684,9.3272
1410.9644,0,0.0588,1.1894e-08,9.2682,9.327
1410.9767,0,0.0588,1.1895e-08,9.268,9.3268
1410.9890,0,0.0588,1.1897e-08,9.2678,9.3266
1411.0013,0,0.0588,1.1898e-08,9.2676,9.3264
1411.0136,0,0.0588,1.1899e-08,9.2673,9.3261
1411.0259,0,0.0588,1.1901e-08,9.2671,9.3259
1411.0382,0,0.0588,1.1902e-08,9.2669,9.3257
1411.0505,0,0.0588,1.1904e-08,9.2667,9.3255
1411.0628,0,0.0588,1.1905e-08,9.2665,9.3253
1411.0751,0,0.0588,1.1906e-08,9.2663,9.3251
1411.0874,0,0.0588,1.1908e-08,9.266,9.3248
1411.0997,0,0.0588,1.1909e-08,9.2658,9.3246
1411.1119,0,0.0588,1.1911e-08,9.2656,9.3244
1411.1242,0,0.0588,1.1912e-08,9.2654,9.3242
1411.1365,0,0.0588,1.1913e-08,9.2652,9.324
1411.1488,0,0.0588,1.1915e-08,9.2649,9.3237
1411.1611,0,0.0588,1.1916e-08,9.2647,9.3235
1411.1734,0,0.0588,1.1918e-08,9.2645,9.3233
1411.1857,0,0.0588,1.1919e-08,9.2643,9.3231
1411.1980,0,0.0588,1.192e-08,9.2641,9.3229
1411.2103,0,0.0588,1.1922e-08,9.2639,9.3227
1411.2226,0,0.0588,1.1923e-08,9.2636,9.3224
1411.2349,0,0.0588,1.1925e-08,9.2634,9.3222
1411.2472,0,0.0588,1.1926e-08,9.2632,9.322
1411.2595,0,0.0588,1.1927e-08,9.263,9.3218
1411.2718,0,0.0588,1.1929e-08,9.2628,9.3216
1411.2841,0,0.0588,1.193e-08,9.2625,9.3213
1411.2964,0,0.0588,1.1932e-08,9.2623,9.3211
1411.3087,0,0.0588,1.1933e-08,9.2621,9.3209
1411.3210,0,0.0588,1.1934e-08,9.2619,9.3207
1411.3333,0,0.0588,1.1936e-08,9.2617,9.3205
1411.3456,0,0.0588,1.1937e-08,9.2614,9.3202
1411.3579,0,0.0588,1.1939e-08,9.2612,9.32
1411.3702,0,0.0588,1.194e-08,9.261,9.3198
1411.3825,0,0.0588,1.1941e-08,9.2608,9.3196
1411.3948,0,0.0588,1.1943e-08,9.2606,9.3194
1411.4071,0,0.0588,1.1944e-08,9.2604,9.3192
1411.4194,0,0.0588,1.1946e-08,9.2601,9.3189
