wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1409.9929,0,0.0069562,8.651e-09,10.029,10.036
1410.0052,0,0.048694,8.765e-09,10.174,10.222
1410.0175,0,0.05565,8.8789e-09,10.174,10.23
1410.0298,0,0.05565,8.9929e-09,10.174,10.229
1410.0421,0,0.05565,9.1069e-09,10.173,10.229
1410.0543,0,0.05565,9.2208e-09,10.173,10.228
1410.0666,0,0.05565,9.3348e-09,10.172,10.228
1410.0789,0,0.05565,9.4488e-09,10.172,10.228
1410.0912,0,0.05565,9.5629e-09,10.172,10.227
1410.1035,0,0.05565,9.6769e-09,10.171,10.227
1410.1158,0,0.05565,9.7909e-09,10.171,10.226
1410.1281,0,0.05565,9.905e-09,10.17,10.226
1410.1404,0,0.05565,1.0019e-08,10.17,10.226
1410.1527,0,0.05565,1.0133e-08,10.17,10.225
1410.1650,0,0.05565,1.0247e-08,10.169,10.225
1410.1773,0,0.05565,1.0361e-08,10.169,10.224
1410.1896,0,0.05565,1.0475e-08,10.168,10.224
1410.2019,0,0.05565,1.059e-08,10.168,10.224
1410.2142,0,0.05565,1.0703e-08,10.168,10.223
1410.2265,0,0.05565,1.0814e-08,10.167,10.223
1410.2388,0,0.05565,1.0922e-08,10.167,10.222
1410.2511,0,0.05565,1.1028e-08,10.166,10.222
1410.2634,0,0.05565,1.1131e-08,10.166,10.222
1410.2757,0,0.05565,1.1231e-08,10.166,10.221
1410.2880,0,0.05565,1.1328e-08,10.165,10.221
1410.3003,0,0.05565,1.1423e-08,10.165,10.22
1410.3126,0,0.05565,1.1515e-08,10.164,10.22
1410.3249,0,0.05565,1.1604e-08,10.164,10.22
1410.3372,0,0.05565,1.169e-08,10.164,10.219
1410.3495,0,0.05565,1.1774e-08,10.163,10.219
1410.3618,0,0.05565,1.1855e-08,10.163,10.218
1410.3741,0,0.05565,1.1933e-08,10.162,10.218
1410.3864,0,0.05565,1.2008e-08,10.162,10.218
1410.3987,0,0.05565,1.208e-08,10.162,10.217
1410.4110,0,0.05565,1.215e-08,10.161,10.217
1410.4233,0,0.05565,1.2217e-08,10.161,10.216
1410.4356,0,0.05565,1.2281e-08,10.16,10.216
1410.4479,0,0.05565,1.2342e-08,10.16,10.216
1410.4602,0,0.05565,1.2401e-08,10.16,10.215
1410.4725,0,0.05565,1.2457e-08,10.159,10.215
1410.4848,0,0.05565,1.251e-08,10.159,10.214
1410.4971,0,0.05565,1.256e-08,10.158,10.214
1410.5094,0,0.05565,1.2608e-08,10.158,10.214
1410.5217,0,0.05565,1.2652e-08,10.158,10.213
1410.5340,0,0.05565,1.2694e-08,10.157,10.213
1410.5463,0,0.05565,1.2733e-08,10.157,10.212
1410.5586,0,0.05565,1.277e-08,10.156,10.212
1410.5709,0,0.05565,1.2803e-08,10.156,10.212
1410.5831,0,0.05565,1.2834e-08,10.156,10.211
1410.5954,0,0.05565,1.2862e-08,10.155,10.211
1410.6077,0,0.05565,1.2887e-08,10.155,10.211
1410.6200,0,0.05565,1.291e-08,10.154,10.21
1410.6323,0,0.05565,1.293e-08,10.154,10.21
1410.6446,0,0.05565,1.2946e-08,10.154,10.209
1410.6569,0,0.05565,1.2961e-08,10.153,10.209
1410.6692,0,0.05565,1.2972e-08,10.153,10.209
1410.6815,0,0.05565,1.298e-08,10.152,10.208
1410.6938,0,0.05565,1.2986e-08,10.152,10.208
1410.7061,0,0.05565,1.2989e-08,10.152,10.207
