wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1152.9907,0,0.0069563,3.3958e-07,6.4493,6.4562
1153.0008,0,0.048694,3.4379e-07,6.5602,6.6089
1153.0108,0,0.05565,3.48e-07,6.5727,6.6284
1153.0209,0,0.05565,3.522e-07,6.5734,6.6291
1153.0309,0,0.05565,3.5641e-07,6.5741,6.6298
1153.0409,0,0.05565,3.6061e-07,6.5748,6.6305
1153.0510,0,0.05565,3.6482e-07,6.5755,6.6312
1153.0610,0,0.05565,3.6902e-07,6.5762,6.6319
1153.0710,0,0.05565,3.7323e-07,6.5769,6.6326
1153.0811,0,0.05565,3.7742e-07,6.5776,6.6333
1153.0911,0,0.05565,3.8154e-07,6.5783,6.634
1153.1011,0,0.05565,3.8559e-07,6.579,6.6347
1153.1112,0,0.05565,3.8954e-07,6.5797,6.6353
1153.1212,0,0.05565,3.9342e-07,6.5804,6.636
1153.1312,0,0.05565,3.972e-07,6.5811,6.6367
1153.1413,0,0.05565,4.009e-07,6.5818,6.6374
1153.1513,0,0.05565,4.0452e-07,6.5825,6.6381
1153.1614,0,0.05565,4.0805e-07,6.5832,6.6388
1153.1714,0,0.05565,4.115e-07,6.5839,6.6395
1153.1814,0,0.05565,4.1486e-07,6.5846,6.6402
1153.1915,0,0.05565,4.1814e-07,6.5853,6.6409
1153.2015,0,0.05565,4.2133e-07,6.586,6.6416
1153.2115,0,0.05565,4.2444e-07,6.5866,6.6423
1153.2216,0,0.05565,4.2746e-07,6.5873,6.643
1153.2316,0,0.05565,4.3039e-07,6.588,6.6437
1153.2416,0,0.05565,4.3324e-07,6.5887,6.6444
1153.2517,0,0.05565,4.3601e-07,6.5894,6.6451
1153.2617,0,0.05565,4.3869e-07,6.5901,6.6458
1153.2718,0,0.05565,4.4128e-07,6.5908,6.6465
1153.2818,0,0.05565,4.4379e-07,6.5915,6.6472
1153.2918,0,0.05565,4.4622e-07,6.5922,6.6478
1153.3019,0,0.05565,4.4856e-07,6.5929,6.6485
1153.3119,0,0.05565,4.5081e-07,6.5936,6.6492
1153.3219,0,0.05565,4.5298e-07,6.5943,6.6499
1153.3320,0,0.05565,4.5507e-07,6.595,6.6506
1153.3420,0,0.05565,4.5707e-07,6.5957,6.6513
1153.3520,0,0.05565,4.5898e-07,6.5963,6.652
1153.3621,0,0.05565,4.6081e-07,6.597,6.6527
1153.3721,0,0.05565,4.6255e-07,6.5977,6.6534
