wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1409.9929,0,0.0069562,8.6631e-09,10.043,10.05
1410.0052,0,0.048694,8.7772e-09,10.188,10.237
1410.0175,0,0.05565,8.8913e-09,10.188,10.244
1410.0298,0,0.05565,9.0054e-09,10.188,10.244
1410.0421,0,0.05565,9.1195e-09,10.188,10.243
1410.0543,0,0.05565,9.2337e-09,10.187,10.243
1410.0666,0,0.05565,9.3478e-09,10.187,10.242
1410.0789,0,0.05565,9.462e-09,10.186,10.242
1410.0912,0,0.05565,9.5762e-09,10.186,10.242
1410.1035,0,0.05565,9.6903e-09,10.186,10.241
1410.1158,0,0.05565,9.8045e-09,10.185,10.241
1410.1281,0,0.05565,9.9187e-09,10.185,10.24
1410.1404,0,0.05565,1.0033e-08,10.184,10.24
1410.1527,0,0.05565,1.0147e-08,10.184,10.24
1410.1650,0,0.05565,1.0261e-08,10.183,10.239
1410.1773,0,0.05565,1.0376e-08,10.183,10.239
1410.1896,0,0.05565,1.049e-08,10.183,10.238
1410.2019,0,0.05565,1.0604e-08,10.182,10.238
1410.2142,0,0.05565,1.0718e-08,10.182,10.237
1410.2265,0,0.05565,1.0829e-08,10.181,10.237
1410.2388,0,0.05565,1.0938e-08,10.181,10.237
1410.2511,0,0.05565,1.1043e-08,10.181,10.236
1410.2634,0,0.05565,1.1146e-08,10.18,10.236
1410.2757,0,0.05565,1.1247e-08,10.18,10.235
1410.2880,0,0.05565,1.1344e-08,10.179,10.235
1410.3003,0,0.05565,1.1439e-08,10.179,10.235
1410.3126,0,0.05565,1.1531e-08,10.179,10.234
1410.3249,0,0.05565,1.162e-08,10.178,10.234
1410.3372,0,0.05565,1.1706e-08,10.178,10.233
1410.3495,0,0.05565,1.179e-08,10.177,10.233
1410.3618,0,0.05565,1.1871e-08,10.177,10.233
1410.3741,0,0.05565,1.1949e-08,10.176,10.232
1410.3864,0,0.05565,1.2024e-08,10.176,10.232
1410.3987,0,0.05565,1.2097e-08,10.176,10.231
1410.4110,0,0.05565,1.2167e-08,10.175,10.231
1410.4233,0,0.05565,1.2234e-08,10.175,10.23
1410.4356,0,0.05565,1.2298e-08,10.174,10.23
1410.4479,0,0.05565,1.2359e-08,10.174,10.23
1410.4602,0,0.05565,1.2418e-08,10.174,10.229
1410.4725,0,0.05565,1.2474e-08,10.173,10.229
1410.4848,0,0.05565,1.2527e-08,10.173,10.228
1410.4971,0,0.05565,1.2577e-08,10.172,10.228
1410.5094,0,0.05565,1.2625e-08,10.172,10.228
1410.5217,0,0.05565,1.267e-08,10.172,10.227
1410.5340,0,0.05565,1.2712e-08,10.171,10.227
1410.5463,0,0.05565,1.2751e-08,10.171,10.226
1410.5586,0,0.05565,1.2787e-08,10.17,10.226
1410.5709,0,0.05565,1.2821e-08,10.17,10.226
1410.5831,0,0.05565,1.2852e-08,10.169,10.225
1410.5954,0,0.05565,1.288e-08,10.169,10.225
1410.6077,0,0.05565,1.2905e-08,10.169,10.224
1410.6200,0,0.05565,1.2927e-08,10.168,10.224
1410.6323,0,0.05565,1.2947e-08,10.168,10.223
1410.6446,0,0.05565,1.2964e-08,10.167,10.223
1410.6569,0,0.05565,1.2978e-08,10.167,10.223
1410.6692,0,0.05565,1.2989e-08,10.167,10.222
1410.6815,0,0.05565,1.2998e-08,10.166,10.222
1410.6938,0,0.05565,1.3004e-08,10.166,10.221
1410.7061,0,0.05565,1.3007e-08,10.165,10.221
1410.7184,0,0.05565,1.3008e-08,10.165,10.221
1410.7307,0,0.05565,1.301e-08,10.165,10.22
1410.7430,0,0.05565,1.3011e-08,10.164,10.22
1410.7553,0,0.05565,1.3012e-08,10.164,10.219
1410.7676,0,0.05565,1.3013e-08,10.163,10.219
1410.7799,0,0.05565,1.3015e-08,10.163,10.219
1410.7922,0,0.05565,1.3016e-08,10.162,10.218
1410.8045,0,0.05565,1.3017e-08,10.162,10.218
1410.8168,0,0.05565,1.3019e-08,10.162,10.217
1410.8291,0,0.05565,1.302e-08,10.161,10.217
1410.8414,0,0.05565,1.3021e-08,10.161,10.217
1410.8537,0,0.05565,1.3023e-08,10.16,10.216
1410.8660,0,0.05565,1.3024e-08,10.16,10.216
1410.8783,0,0.05565,1.3025e-08,10.16,10.215
1410.8906,0,0.05565,1.3027e-08,10.159,10.215
1410.9029,0,0.05565,1.3028e-08,10.159,10.214
1410.9152,0,0.05565,1.3029e-08,10.158,10.214
1410.9275,0,0.05565,1.303e-08,10.158,10.214
1410.9398,0,0.05565,1.3032e-08,10.158,10.213
1410.9521,0,0.05565,1.3033e-08,10.157,10.213
